id	section	source_line	text	base_audio	selected_audio	literal_audio	term_context_audio	paraphrase_audio	status	datasets
src-ad58dea744a03c0c	20260915新增	3	签收第一条	0	0	0	0	0	缺音频	
src-b578f4db362739c7	20260915新增	4	签收第二条	0	0	0	0	0	缺音频	
src-9921cb27ae42f4dc	20260915新增	5	签收第三条	0	0	0	0	0	缺音频	
src-64c4385abf55fad6	20260915新增	6	签收第四条	0	0	0	0	0	缺音频	
src-4f6f693b40baa6da	20260915新增	7	签收第五条	0	0	0	0	0	缺音频	
src-22ccb4dad155f6b5	20260915新增	8	签收第六条	0	0	0	0	0	缺音频	
src-8556bdec22dc71e2	20260915新增	9	签收第七条	0	0	0	0	0	缺音频	
src-761608977fd9807e	20260915新增	10	签收第八条	0	0	0	0	0	缺音频	
src-03b777850fa25bfb	20260915新增	11	签收第九条	0	0	0	0	0	缺音频	
src-d8ac4db19ba223a4	20260915新增	12	选择第一条	0	0	0	0	0	缺音频	
src-cd7922dc63d7c8be	20260915新增	13	选择第二条	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-8210b463d3917df3	20260915新增	14	选择第三条	0	0	0	0	0	缺音频	
src-fb45d9e6b4f84d73	20260915新增	15	选择第四条	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-d102dca3aeff2ea0	20260915新增	16	选择第五条	0	0	0	0	0	缺音频	
src-dd3bc7a3eaec6761	20260915新增	17	选择第六条	0	0	0	0	0	缺音频	
src-687d798b7f39728f	20260915新增	18	选择第七条	0	0	0	0	0	缺音频	
src-1ee6840db374a848	20260915新增	19	选择第八条	0	0	0	0	0	缺音频	
src-99c914bc77686b50	20260915新增	20	选择第九条	0	0	0	0	0	缺音频	
src-2605fdb150a61695	20260915新增	26	打开记录仪蓝牙	0	0	0	0	0	缺音频	
src-ff015406e7fb9629	20260915新增	27	开启记录仪蓝牙	0	0	0	0	0	缺音频	
src-7f62f8409df13bd3	20260915新增	28	关闭记录仪蓝牙	0	0	0	0	0	缺音频	
src-e1f04ef5da796d38	20260915新增	31	打开记录仪WLAN	0	0	0	0	0	缺音频	
src-0dc364fa655de281	20260915新增	32	开启记录仪无线局域网	0	0	0	0	0	缺音频	
src-bd617f059fdebabc	20260915新增	33	关闭记录仪WLAN	0	0	0	0	0	缺音频	
src-56cafd9a1fbb45d7	20260915新增	34	关闭记录仪无线局域网	0	0	0	0	0	缺音频	
src-ab64e0f0ea035754	20260915新增	37	打开记录仪NFC	0	0	0	0	0	缺音频	
src-9ea9f0f5ca33ffa4	20260915新增	38	开启记录仪NFC	0	0	0	0	0	缺音频	
src-c33f71a493ea0026	20260915新增	39	关闭记录仪NFC	0	0	0	0	0	缺音频	
src-6a4ca78d8642c4bc	20260915新增	42	打开记录仪飞行模式	0	0	0	0	0	缺音频	
src-6a20fcd98a053684	20260915新增	43	开启记录仪飞行模式	0	0	0	0	0	缺音频	
src-5001945d96c0ebca	20260915新增	44	关闭记录仪飞行模式	0	0	0	0	0	缺音频	
src-85acaedc6e028816	20260915新增	47	打开记录仪个人热点	0	0	0	0	0	缺音频	
src-61696778d42f5a44	20260915新增	48	开启记录仪热点	0	0	0	0	0	缺音频	
src-4ffdc4f0f22874e2	20260915新增	49	关闭记录仪个人热点	0	0	0	0	0	缺音频	
src-d1c475e2a5da6e78	20260915新增	52	打开记录仪手电筒	0	0	0	0	0	缺音频	
src-fcc23b5667d1783d	20260915新增	53	关闭记录仪手电筒	0	0	0	0	0	缺音频	
src-c89dc0eb0396b176	20260915新增	56	打开红外	0	0	0	0	0	缺音频	
src-87ae45b45c4d9392	20260915新增	57	开启红外	0	0	0	0	0	缺音频	
src-3a05a06657ee6055	20260915新增	58	关闭红外	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-cfa2d1ff10781f41	20260915新增	61	打开AI模式	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-c40b5cf275fdb3e6	20260915新增	62	开启AI	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-937706d3ad01881a	20260915新增	63	关闭AI模式	0	0	0	0	0	缺音频	
src-3ba786aaa69fee3d	20260915新增	64	关闭AI	0	0	0	0	0	缺音频	
src-b4513259bfd8899e	20260915新增	67	打开静默模式	0	0	0	0	0	缺音频	
src-46f17b4bde7cd786	20260915新增	68	开启静音模式	0	0	0	0	0	缺音频	
src-930bd869ac89cae0	20260915新增	69	关闭静默模式	0	0	0	0	0	缺音频	
src-a8a1a082266ff894	20260915新增	70	关闭静音模式	0	0	0	0	0	缺音频	
src-f8b5ac8cb9279791	20260915新增	73	打开记录仪移动网络	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-5ebf157d5e8066c9	20260915新增	74	开启记录仪移动数据	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-446eaf8538c10249	20260915新增	75	关闭记录仪移动网络	0	0	0	0	0	缺音频	
src-11eb5a0d7ffc1f83	20260915新增	76	关闭记录仪移动数据	0	0	0	0	0	缺音频	
src-39c15c10945e0d58	20260915新增	79	打开记录仪人声播报	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-32c332264f659df0	20260915新增	80	开启记录仪人声播报	0	10	0	0	10	仅改写覆盖	police_v6_8h
src-5a35f9840df1bff6	20260915新增	81	关闭记录仪人声播报	0	0	0	0	0	缺音频	
src-e9b2cdb6e64d60bc	20260915新增	86	把镜头切换到超长待机模式	0	0	0	0	0	缺音频	
src-68bbde22097c8eab	20260915新增	87	切换到超长待机	0	0	0	0	0	缺音频	
src-dd8ed8150dc9c253	20260915新增	88	把镜头切换到防抖模式	0	0	0	0	0	缺音频	
src-aef6c0b6e87d902e	20260915新增	89	切换到防抖	0	0	0	0	0	缺音频	
src-702f7ca623a253a2	20260915新增	90	把镜头切换到超大广角模式	0	0	0	0	0	缺音频	
src-cbc84278579e56f4	20260915新增	91	切换到超大广角	0	0	0	0	0	缺音频	
src-226892834e8b19e7	20260915新增	92	镜头模式有哪些可选	0	0	0	0	0	缺音频	
src-ed5dfe1dd1def98d	20260915新增	93	当前镜头模式是什么	0	0	0	0	0	缺音频	
src-82d1fbb7554af704	20260915新增	98	开始录像	1	1	1	0	0	已覆盖	current_police_terms_20260727_190
src-4a2aa8e04f119e88	20260915新增	99	停止录像	0	0	0	0	0	缺音频	
src-ce398de45e479561	20260915新增	100	开始录音	1	1	1	0	0	已覆盖	current_police_terms_20260727_190
src-2061d6edd5d35081	20260915新增	101	停止录音	0	0	0	0	0	缺音频	
src-1fc4b582ff7a7287	20260915新增	102	拍照	0	0	0	0	0	缺音频	
src-374cbae6fc376afb	20260915新增	103	拍一张照片	0	0	0	0	0	缺音频	
src-761769bfce7a5b95	20260915新增	104	打开水印	0	0	0	0	0	缺音频	
src-072ce6cec146fad0	20260915新增	105	关闭水印	0	0	0	0	0	缺音频	
