"id","name","source_hours_low","source_hours_high","project_reference_hours","project_ids","project_status","source_url","counting_rule"
"yodas","YODAS / YODAS2","369510","369510","19005.69","yodas_ar; yodas_bn; yodas_de; yodas_es; yodas_fr; yodas_ja; yodas_ko; yodas_ru","部分语言已登记","https://huggingface.co/datasets/espnet/yodas","原版有字幕部分369510h；YODAS2相同来源长音频，二者选一；不把未标注音频算作ASR"
"voxpopuli","VoxPopuli + MOSEL labels","383500","383500","0","granary (下载计划间接引用)","新增源音频","https://github.com/hlt-mt/mosel","按MOSEL来源表383500h预算；MOSEL/Granary转写共享音频，非额外音频"
"libriheavy_librilight","LibriHeavy / Libri-Light","50000","57706","0","无独立登记","新增源音频","https://github.com/k2-fsa/libriheavy","50kh标注版至57706h源音频容器；同一录音只存一次"
"raon_youtube_commons","Raon-YouTube-Commons","335000","335000","0","无","新增","https://huggingface.co/datasets/KRAFTON/Raon-OpenTTS-Pool","只取Raon汇编中的335kh来源；其余来源分别归并；与YODAS未做内容级去重，不预扣潜在重叠"
"emilia_original","Emilia 原版","101654","101654","86405.09","emilia_en; emilia_zh; emilia_ja; emilia_ko","部分已登记","https://github.com/open-mmlab/Amphion/tree/main/preprocessors/Emilia","原版101654h；Emilia-YODAS约113900h归入YODAS，改变波形的版本计入额外预算"
"mls","Multilingual LibriSpeech 全8语","50687","50687","48720.52","mls; mls_de; mls_es; mls_fr; mls_pt (计划)","大部分已登记","https://www.openslr.org/94/","英语及多语言只计一次；不同原始录音未与其他LibriVox语料凭名称强行去重"
"common_voice","Common Voice SCS27 + SPS5","43134","43134","4737.956","common_voice_*; common-voice-* (计划)","部分语言和旧版","https://github.com/common-voice/cv-dataset","42593+541h是全部录音含未验证文本；validated为29295+302h；不累加历史发布"
"worldspeech","WorldSpeech","65072","65072","0","无","新增；部分需抓取音频","https://huggingface.co/datasets/disco-eth/WorldSpeech","65072h；5个RFA配置仅元数据，主表为获取齐全后的预算；源内容潜在重叠不预扣"
"reazonspeech","ReazonSpeech","35000","35000","0","reazonspeech (计划)","计划登记；须同意访问条件","https://huggingface.co/datasets/reazon-research/reazonspeech","35000h全量，不能加19000h旧版；官方FLAC约2.3TB"
"gigaspeech2","GigaSpeech2 raw","28339","28339","1980.12","gigaspeech2 (计划); gigaspeech2_id","部分已登记","https://github.com/SpeechColab/GigaSpeech2","raw约28339h；refined约22kh为子集，不相加"
"gigaspeech","GigaSpeech XL","10050.65","10050.65","10050.65","gigaspeech","已登记","https://github.com/SpeechColab/GigaSpeech","采用本项目总划分10050.65h；S/M/L/XL嵌套只计XL"
"wenetspeech","WenetSpeech 有标注/弱标注","12503.32","12503.32","12503.32","wenetspeech","已登记","https://github.com/wenet-e2e/WenetSpeech","本项目10025.43h及约2477.89h弱标注；不另加9952h无标注"
"wenetspeech_yue","WenetSpeech-Yue","21800","21800","0","wenetspeech_yue; wenetspeech_yue_all","登记但缺时长","https://github.com/ASLP-lab/WenetSpeech-Yue","官方21800h；无法确认现有覆盖，增量不作抵扣；两入口不相加"
"wenetspeech_chuan","WenetSpeech-Chuan","10259.57","10259.57","10259.57","wenetspeech_chuan","已登记","https://github.com/ASLP-lab/WenetSpeech-Chuan","采用当前登记10259.57h预算，官方约10kh；本地与官方口径差异保留"
"wenetspeech_wu","WenetSpeech-Wu","8740.7","8740.7","8740.7","wenetspeech_wu","已登记","https://github.com/ASLP-lab/WenetSpeech-Wu-Repo","官方约8kh，本项目登记8740.70h；规划取较大值"
"hifitts2","HiFiTTS-2","36700","36700","0","无","新增；有转写的TTS兼ASR来源","https://arxiv.org/abs/2506.04152","36700h；Raon内HiFiTTS版本归并；不按44.1kHz音频直接估16k占用"
"peoples_speech","People's Speech","30000","38000","0","peoples_speech (计划)","计划登记","https://huggingface.co/datasets/MLCommons/peoples_speech","原版约30kh，Raon清洗/脏集表约38kh存在版本口径差异，预算取30-38kh；不叠加汇编"
"omnilingual","Omnilingual ASR Corpus","3350","3350","0","omnilingual-asr-corpus (计划)","计划登记","https://huggingface.co/datasets/facebook/omnilingual-asr-corpus","公开语料约3350h/348语；不是Omnilingual模型全部训练数据"
"indicvoices","IndicVoices","12000","12000","0","indicvoices","有登记但无总时长","https://huggingface.co/datasets/ai4bharat/IndicVoices","按12kh录音规模预算；转写可用范围待逐配置核对；IndicVoices-R按派生处理"
"kathbath","Kathbath","1684","1684","0","无","新增；需同意访问条件","https://huggingface.co/datasets/ai4bharat/Kathbath","约1684h，12语"
"shrutilipi","Shrutilipi","6400","6400","0","无","新增；需同意访问条件","https://huggingface.co/datasets/ai4bharat/Shrutilipi","约6400h，12语，广播语音"
"waxal","WAXAL","2242","2242","0","waxal-asr","已登记但缺时长","https://huggingface.co/datasets/google/WaxalNLP","使用新版本split统计2242h作为保守预算；旧介绍1250h不相加"
"fleurs","FLEURS 全语种","2000","2000","120.42","fleurs_*","部分语言已登记","https://huggingface.co/datasets/google/fleurs","约2kh为规模预算；all和分语言配置不能相加"
"legco_local","本项目 LegCo","20476.8","20476.8","20476.8","legco_speech; legco_speech_en","本地登记参考","../../catalog/icefall_base.jsonl","20227.21+249.59h按语言片段合计预算；与WorldSpeech等缺音频ID交集证据，不先扣重"
"regional_tail_allowance","其余中小语料及目录覆盖预留","30000","60000","0","多个已登记集及未登记公开集","规划预留，非实测合计","https://www.openslr.org/resources.php","30-60kh为显式规划假设；覆盖未单列的OpenSLR/区域ASR/小型转写TTS及评测集，不代表互联网剩余数据上界"
"granary","Granary","0","0","","granary (计划)","派生/汇编，归入源库","https://huggingface.co/datasets/nvidia/Granary","发布规模参考643238h，不额外加总；ASR/AST共用音频；回到YODAS/VoxPopuli/Libri-Light/YTC计数，合计表与分项不一致，不作为全库可加总时长"
"mosel","MOSEL","0","0","","granary (计划间接引用)","派生/汇编，归入源库","https://huggingface.co/datasets/FBK-MT/mosel","发布规模参考950192h，不额外加总；950kh是汇总目录；自身主要发布转写，音频归入原始来源"
"lemas","LEMAS","0","0","","lemas (计划)","派生/汇编，归入源库","https://arxiv.org/html/2601.04233v1","发布规模参考150136.57h，不额外加总；论文明确来自GigaSpeech/GigaSpeech2/WenetSpeech4TTS/Emilia/MLS/mTEDx/Alcaim/Golos/YODAS；主要补充标注，差异波形另计"
"loquacious","LoquaciousSet","0","0","","loquacious_set (计划)","派生/汇编，归入源库","https://huggingface.co/datasets/speechbrain/LoquaciousSet","发布规模参考25000h，不额外加总；由LibriHeavy/YODAS/People's Speech/CV/VoxPopuli/LibriSpeech构成，不再加25kh音频"
"voxbox","VoxBox","0","0","","Emilia/GigaSpeech/MLS/MAGICDATA等原始来源","派生/汇编，归入源库","https://github.com/SparkAudio/VoxBox","发布规模参考102500.26h，不额外加总；按源库归并，少量未覆盖子库在长尾预留中，不能额外加5.82TB"
