dataset_key,decision,role,source,artifact_references,existing_file_objects,directory_objects,direct_file_bytes,exclusive_direct_file_bytes,additional_direct_file_bytes_in_order,covered_by,view_references,lineage_referenced_by,issues,reason,notes
aidatatang@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:26,2,2,0,8585184,0,8585184,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
aidatatang@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:21,2,2,0,8585184,0,0,aidatatang@icefall-20260908,aidatatang/hotwords@v1-20260805:source,aidatatang@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
aidatatang_hotwords@hotwords-v1-20260805,retain,清洗或热词视图,catalog/local_lhotse_derived.jsonl:18,2,2,0,9189940,6996746,6996746,aidatatang@icefall-20260908,aidatatang/hotwords@v1-20260805:result,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
aishell2@eval-20260804,reference_only,评测入口,catalog/open_audio_eval.jsonl:2,2,2,0,231107,0,0,aishell2@icefall-20260908,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
aishell2@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:19,4,4,0,47248424,0,47248424,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
aishell2@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:14,4,4,0,47248424,0,0,aishell2@icefall-20260908,aishell2/clean@v1-20260805:source;aishell2/hotwords@v1-20260805:source,aishell2@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
aishell2_clean@clean-v1-20260805,retain,清洗或热词视图,catalog/local_lhotse_derived.jsonl:14,2,2,0,233620,159344,159344,aishell2@icefall-20260908,aishell2/clean@v1-20260805:result,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
aishell2_hotwords@eval-20260804,reference_only,评测入口,catalog/open_audio_eval.jsonl:15,2,2,0,235516,0,0,aishell2@icefall-20260908;aishell2_hotwords@hotwords-v1-20260805,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
aishell2_hotwords@hotwords-v1-20260805,retain,清洗或热词视图,catalog/local_lhotse_derived.jsonl:15,2,2,0,235516,0,161240,aishell2@icefall-20260908,aishell2/hotwords@v1-20260805:result,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
aishell3@eval-20260804,reference_only,评测入口,catalog/open_audio_eval.jsonl:3,2,2,0,1231063,0,0,aishell3@icefall-20260908,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
